product_id,asin,brand,display_name,api_title,price,rating,review_count,category,guide,main_image,image_1,image_2,image_3,image_4,amazon_url,product_url,api_status,verified_date
ateam-universal,B07Z5GB3L7,AteamProducts,Universal Strap Holder,Bike Fishing Rod Holder - Secures Fishing Pole to Bicycle - Easy Mount Rod Rack,0,3.5,117,Fishing Rod Holder,ebike-fishing-rod-holders-guide,https://m.media-amazon.com/images/I/81J9eWaBfPL._AC_SX679_.jpg,https://m.media-amazon.com/images/I/81J9eWaBfPL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/A1JSiobCPcL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91EpZqkUs+L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91HALnbDnjL._AC_SL1500_.jpg,https://www.amazon.com/dp/B07Z5GB3L7,https://www.amazon.com/dp/B07Z5GB3L7,VERIFIED,2026-02-08
lectric-handlebar,,Lectric eBikes,Handlebar Rod Holder,,,,,Fishing Rod Holder,ebike-fishing-rod-holders-guide,,,,,,https://lectricebikes.com/products/fishing-rod-holder,https://lectricebikes.com/products/fishing-rod-holder,NO_ASIN,2026-02-08
bakcou-catch-release,,BAKCOU,Catch & Release Single Rod,,,,,Fishing Rod Holder,,,,,,,,https://bakcou.com/products/ebike-bicycle-fishing-rod-holder,NO_ASIN,2026-02-08
burley-flatbed,B00K4VLBRQ,Burley,Flatbed Cargo Trailer,"Burley Flatbed Bicycle Trailer, Carry Long Objects, Load Up to 99.3 lbs (45 kg), Unfolded Size: Length 33.0 inches (83.8 cm), Width 31.0 inches (78.5 cm)",,4.5,433,Cargo Trailer,https://m.media-amazon.com/images/I/81v39PE7pNL._AC_SX679_.jpg,https://m.media-amazon.com/images/I/81v39PE7pNL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81yQrSR4r4L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81-o4GRDLiL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81fTIOaIwML._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/713yj4M1SHL._AC_SL1022_.jpg,https://www.amazon.com/dp/B00K4VLBRQ,https://www.amazon.com/dp/B00K4VLBRQ,VERIFIED,2026-02-08
burley-nomad,B0BW26F72R,Burley,Nomad Cargo Trailer,"Burley Nomad | Touring Cargo Bike Trailer with Water-Resistant Cover, Large Storage Capacity & 100 lb Load Rating",369.95,4.5,56,Cargo Trailer,https://m.media-amazon.com/images/I/6145dcQYZaL._AC_SX679_.jpg,https://m.media-amazon.com/images/I/6145dcQYZaL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/81VPElY9fhL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/61CbHCtL4jL._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/91bZoK9G18L._AC_SL1500_.jpg,https://m.media-amazon.com/images/I/610fExfNusL._AC_SL1500_.jpg,https://www.amazon.com/dp/B0BW26F72R,https://www.amazon.com/dp/B0BW26F72R,VERIFIED,2026-02-08
aventon-hitch-trailer,,Aventon/Burley,Compatible Hitch Trailer,,,,,Cargo Trailer,,,,,,,,https://www.aventon.com/products/accessories,NO_ASIN,2026-02-08
topeak-explorer,B009XMO9BM,Topeak,Explorer Rear Rack,Topeak Rear Bike Rack,74.95,5,2,Cargo Rack,https://m.media-amazon.com/images/I/51qJrYH-DeL._AC_SX679_.jpg,https://m.media-amazon.com/images/I/51qJrYH-DeL._AC_SL1005_.jpg,,,,,https://www.amazon.com/dp/B009XMO9BM,https://www.amazon.com/dp/B009XMO9BM,VERIFIED,2026-02-08
thule-tour-rack,B0B6132N63,Thule,Pack 'n Pedal Tour Rack,,,,,Cargo Rack,,,,,,,https://www.amazon.com/dp/B0B6132N63,https://www.amazon.com/dp/B0B6132N63,ASIN_NOT_VERIFIED,2026-02-08
planet-eco-rack,B000SPMU9Q,Planet Bike,Eco Rear Rack,,,,,Cargo Rack,,,,,,,https://www.amazon.com/dp/B000SPMU9Q,https://www.amazon.com/dp/B000SPMU9Q,ASIN_NOT_VERIFIED,2026-02-08
planet-koko,B0043MLLI6,Planet Bike,K.O.K.O Rack,,,,,Cargo Rack,,,,,,,https://www.amazon.com/dp/B0043MLLI6,https://www.amazon.com/dp/B0043MLLI6,ASIN_NOT_VERIFIED,2026-02-08
